Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
11/09/20,Rizespor,Fenerbahce,1,2,A,0,0,D,,9,17,3,8,11,12,3,11,1,2,0,0,3.7,3.75,1.9
12/09/20,Karagumruk,Yeni Malatyaspor,3,0,H,1,0,H,,7,20,6,7,19,10,8,6,4,3,0,0,2.75,3.6,2.37
12/09/20,Sivasspor,Alanyaspor,0,2,A,0,1,A,,10,12,4,6,14,11,7,6,4,2,0,0,2.25,3.5,3
12/09/20,Galatasaray,Gaziantep,3,1,H,3,0,H,,23,9,12,2,13,12,8,6,2,3,0,0,1.45,4.5,6.5
12/09/20,Goztep,Denizlispor,5,1,H,3,0,H,,10,8,6,1,15,13,4,6,0,3,0,0,2.15,3.3,3.4
13/09/20,Ankaragucu,Erzurum BB,1,2,A,0,0,D,,8,12,5,4,16,12,6,3,3,0,0,0,2.37,3.3,2.9
13/09/20,Kayserispor,Kasimpasa,1,0,H,1,0,H,,6,12,2,3,12,16,1,6,3,2,0,0,2.75,3.5,2.4
13/09/20,Antalyaspor,Genclerbirligi,2,0,H,1,0,H,,9,6,5,1,12,18,2,3,1,1,0,0,2.1,3.6,3.25
13/09/20,Trabzonspor,Besiktas,1,3,A,0,1,A,,8,12,4,5,7,17,4,3,3,2,1,0,2.1,3.5,3.3
14/09/20,Hatayspor,Buyuksehyr,2,0,H,1,0,H,,12,15,6,2,13,14,1,6,1,2,0,0,4.5,3.8,1.72
18/09/20,Yeni Malatyaspor,Goztep,1,1,D,1,1,D,,14,3,1,1,13,19,5,6,0,0,0,0,2.7,3.3,2.5
19/09/20,Genclerbirligi,Konyaspor,0,0,D,0,0,D,,12,10,1,1,10,13,6,1,0,3,0,0,2.3,3.2,3.2
19/09/20,Denizlispor,Trabzonspor,0,0,D,0,0,D,,9,13,2,4,17,13,7,7,3,0,1,0,4,3.5,1.85
19/09/20,Alanyaspor,Kayserispor,2,0,H,1,0,H,,18,10,8,1,10,12,5,1,1,3,0,0,1.44,4.2,7.5
19/09/20,Besiktas,Antalyaspor,1,1,D,1,0,H,,12,8,3,4,18,26,5,3,5,4,0,0,1.6,4.2,5
20/09/20,Erzurum BB,Sivasspor,1,2,A,0,0,D,,7,9,3,3,14,9,2,7,0,0,0,0,3,3.1,2.45
20/09/20,Kasimpasa,Rizespor,2,0,H,1,0,H,,16,11,7,6,14,9,5,8,3,1,1,0,1.83,3.75,4
20/09/20,Buyuksehyr,Galatasaray,0,2,A,0,1,A,,12,12,5,6,16,15,5,2,3,1,0,0,2.3,3.4,3
20/09/20,Gaziantep,Karagumruk,2,2,D,0,1,A,,14,11,9,4,15,14,7,7,2,2,0,0,2,3.4,3.75
21/09/20,Fenerbahce,Hatayspor,0,0,D,0,0,D,,12,0,4,0,15,14,3,1,1,6,0,2,1.44,4.5,6.5
25/09/20,Karagumruk,Buyuksehyr,2,0,H,0,0,D,,5,13,3,4,8,11,2,2,2,3,0,1,4.33,3.75,1.75
26/09/20,Kayserispor,Erzurum BB,1,3,A,0,2,A,,12,13,2,8,15,21,5,5,1,3,0,0,2.4,3.3,2.87
26/09/20,Goztep,Gaziantep,2,2,D,0,1,A,,13,9,4,4,19,10,2,4,3,1,0,0,2.1,3.4,3.4
26/09/20,Hatayspor,Kasimpasa,1,0,H,0,0,D,,11,6,3,3,14,16,6,3,2,3,0,0,2.62,3.3,2.62
